hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,13,2015,September,40,30,0,3,2,0,1,BB,BEL,Direct,Direct,0,0,0,A,A,0,No Deposit,14,,0,Transient,101.33,0,2,Check-Out,03/10/2015
City Hotel,1,301,2015,August,33,14,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6,,0,Transient-Party,101.5,0,0,Canceled,06/07/2015
City Hotel,0,76,2015,September,38,16,0,2,2,0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,62,0,0,Check-Out,18/09/2015
City Hotel,0,53,2016,June,27,30,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,119.7,0,1,Check-Out,02/07/2016
City Hotel,0,27,2017,June,25,19,1,3,1,0,0,BB,NLD,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,357,0,Transient,130.5,0,0,Check-Out,23/06/2017
City Hotel,1,190,2016,April,15,9,1,1,2,0,0,BB,PRT,Groups,TA/TO,1,13,1,A,A,0,No Deposit,,,31,Transient-Party,70,0,0,Canceled,09/12/2015
City Hotel,0,1,2015,December,53,31,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,135,0,0,Check-Out,01/01/2016
City Hotel,1,85,2016,August,32,3,0,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,119.7,0,0,Canceled,10/05/2016
City Hotel,1,147,2017,August,34,21,1,2,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,A,2,No Deposit,14,,0,Transient,101.88,0,0,Canceled,18/08/2017
City Hotel,0,2,2015,September,40,30,0,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26,,0,Transient-Party,112.2,0,0,Check-Out,01/10/2015
City Hotel,0,3,2016,November,47,13,2,1,1,0,0,BB,PRT,Corporate,Corporate,1,5,51,A,A,0,No Deposit,,40,0,Transient,65,0,1,Check-Out,16/11/2016
City Hotel,1,26,2016,October,44,26,0,1,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,83,,0,Transient,118.5,0,0,Canceled,13/10/2016
City Hotel,0,17,2016,November,48,23,0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,104,0,2,Check-Out,26/11/2016
City Hotel,0,1,2016,March,14,30,0,1,1,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,89,0,1,Check-Out,31/03/2016
City Hotel,0,60,2015,September,39,21,1,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20,,0,Transient-Party,65,0,0,Check-Out,23/09/2015
City Hotel,0,2,2015,September,37,10,0,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,69,,0,Transient,0,0,1,Check-Out,11/09/2015
City Hotel,0,48,2016,July,28,9,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,115.5,0,2,Check-Out,12/07/2016
City Hotel,0,359,2016,October,42,14,2,3,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21,,0,Transient-Party,78,0,1,Check-Out,19/10/2016
City Hotel,1,180,2015,October,42,16,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3,,0,Transient,70,0,0,Canceled,31/08/2015
City Hotel,0,116,2016,May,20,13,1,2,2,0,0,BB,ITA,Direct,Direct,0,0,0,A,A,1,No Deposit,14,,0,Transient,117.9,0,2,Check-Out,16/05/2016
City Hotel,0,0,2017,June,26,27,0,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,102,0,0,Check-Out,28/06/2017
City Hotel,0,87,2017,May,21,24,0,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,144,0,0,Check-Out,28/05/2017
City Hotel,0,29,2016,May,21,20,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,1,No Deposit,,174,0,Transient-Party,95,0,0,Check-Out,21/05/2016
City Hotel,1,49,2016,August,34,15,1,2,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,152.1,0,0,Canceled,27/06/2016
City Hotel,1,46,2017,June,23,5,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,159,,0,Transient,170,0,0,Canceled,25/04/2017
City Hotel,1,302,2016,October,41,6,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,3,,0,Transient,105,0,0,Canceled,29/12/2015
City Hotel,1,41,2016,December,53,27,1,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,220,,0,Transient-Party,70,0,0,No-Show,27/12/2016
City Hotel,1,336,2015,September,38,18,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6,,0,Transient-Party,101.5,0,0,Canceled,06/07/2015
City Hotel,1,48,2016,April,16,11,1,2,3,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,137.7,0,1,Canceled,25/03/2016
City Hotel,0,0,2015,September,39,23,0,2,2,0,1,BB,PRT,Direct,Direct,0,0,0,D,E,1,No Deposit,,,0,Transient,145,0,1,Check-Out,25/09/2015
City Hotel,1,104,2017,July,28,10,1,0,3,0,0,BB,CN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,150,0,0,Canceled,30/03/2017
City Hotel,0,49,2017,April,17,24,1,0,2,0,0,BB,AUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,,0,Transient,108,0,0,Check-Out,25/04/2017
City Hotel,1,42,2016,March,12,18,1,2,3,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9,,0,Transient,182.7,0,1,Canceled,22/02/2016
City Hotel,1,267,2015,July,28,11,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,,0,Transient-Party,62.8,0,0,Canceled,01/01/2015
City Hotel,1,61,2017,January,4,25,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,326,,0,Transient,80,0,0,Canceled,25/11/2016
City Hotel,1,301,2015,August,33,14,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6,,0,Transient-Party,101.5,0,0,Canceled,06/07/2015
City Hotel,0,109,2016,December,53,27,0,3,3,0,0,BB,LTU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22,,0,Transient,92.65,0,0,Check-Out,30/12/2016
City Hotel,0,8,2015,October,44,31,0,1,2,2,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,64,0,0,Check-Out,01/11/2015
City Hotel,1,333,2016,September,39,20,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,58,,19,Transient,90,0,0,Canceled,11/11/2015
City Hotel,1,281,2015,July,30,25,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,,0,Transient-Party,62,0,0,Canceled,06/07/2015
City Hotel,0,117,2017,August,34,22,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,98,,0,Transient-Party,115,0,1,Check-Out,25/08/2017
City Hotel,0,66,2017,January,1,4,0,3,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,93.6,0,2,Check-Out,07/01/2017
City Hotel,1,133,2016,August,34,20,0,1,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,94.5,0,0,Canceled,19/08/2016
City Hotel,0,72,2016,August,34,18,0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,135.9,0,2,Check-Out,21/08/2016
City Hotel,1,275,2016,April,17,17,2,0,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,12,,0,Transient,110,0,0,Canceled,04/08/2015
City Hotel,0,1,2016,September,39,22,1,3,3,0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,315,,0,Transient-Party,198,0,0,Check-Out,26/09/2016
City Hotel,0,0,2016,October,44,29,0,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,3,A,D,0,No Deposit,94,,0,Transient,0,0,1,Check-Out,29/10/2016
City Hotel,0,60,2016,November,47,18,1,2,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,93.6,0,1,Check-Out,21/11/2016
City Hotel,0,448,2017,June,24,17,2,1,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229,,0,Transient-Party,112.67,0,1,Check-Out,20/06/2017
City Hotel,1,16,2017,March,9,2,2,3,2,0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,91.8,0,0,Canceled,15/02/2017
City Hotel,0,18,2016,December,53,31,1,1,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,148,0,1,Check-Out,02/01/2017
City Hotel,0,405,2017,July,27,4,0,2,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,,0,Transient-Party,114.4,0,0,Check-Out,06/07/2017
City Hotel,1,218,2016,June,24,9,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,133,,0,Transient,135,0,0,Canceled,14/12/2015
City Hotel,1,102,2017,May,18,6,1,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,126,0,1,Canceled,05/02/2017
City Hotel,1,50,2017,August,34,26,1,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,85,,0,Transient,118.8,0,0,Canceled,10/07/2017
City Hotel,1,15,2016,March,11,12,2,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,103,0,0,Canceled,29/02/2016
City Hotel,1,180,2016,April,16,13,0,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,21,,38,Transient,125,0,0,Canceled,23/11/2015
City Hotel,1,213,2016,June,24,7,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19,,62,Transient,130,0,0,Canceled,08/01/2016
